Source,Target,Label,Weight
1,0,3EXLhmex5q98cen2dPwFoq7nxS8rdN5d8g,0.01187121
2,0,34jkMns7d3YGrhqgkg7dL3euunfShke73A,0.00812432
3,2,3Lx6JTZzh69zMZ2EdyZw7uxu81aetbTT5Q,0.028294
4,1,3ALpXn8D1LakvRgvob98jTvSFdeRLmTd8M,0.03916708
5,1,3B7SVKxX19hbsJ5B2h5HhicYFeE6Pucixu,0.01893117
6,3,3HrK9rXvr6aDTz4RGHiBigEUMY2wn7NmFh,0.11788501
7,4,3Lx6JTZzh69zMZ2EdyZw7uxu81aetbTT5Q,0.041667
8,5,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,3.85480612
9,5,1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,38.53101271
10,6,3DKWsmJMBNkEb4TgdZ6gAjGPzJhU9dKi4E,0.14498292
11,7,33Luw49CYPsQbJsyEZ8SbGVyEuGEpYUyyJ,3.3535
12,8,1GAWu5Sacfehb34pPTim8CBqBPyryoixzg,0.0004
13,8,16VKGrAYW1K6P3B4SXhXDAUEg1Rybk2SFS,0.0012
14,8,1Aact7rxSzeAj2YsYd1Mx692H8GrQnWVPg,0.02272
15,8,1PcfjbZCmkRXZEiouDui6gHuYKEtXD9wfj,0.1458
16,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.13988577
17,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00191592
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0051714
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00404422
19,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.025857
20,8,17daWMRvMZi2319P2GzWJEa11C95ZKn1ZR,0.005
18,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00366979
21,8,12WQcNZwBCLy9LV7JuonsPvPLxP2f432Wk,0.025639
22,8,1GimAo435cH6UQ8GZqqEaXkrspJN6rhB5F,0.00971141
23,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00620502
24,8,16KVRYtGMsy8HuUc3vWiP9ivdWdM5E9NNo,0.02193
25,8,1Nqu7WWE5yHJDeatnjQou1VX3bAhP75kLY,0.00260011
26,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00106851
26,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0049725
27,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00098456
28,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.0029835
29,8,1Psy6Y7r6n3p4Xh8vw4cxojCKuPmijyHgu,0.05
30,8,1PG8oNDxvxRodVEn2WjARNqSFussPmytvu,0.00469002
